epoch,step,train_loss_epoch,train_loss_step,val/mae,val/r2,val/rmse,val_loss
0,7,,,0.7587137222290039,0.09012657403945923,0.8956081867218018,0.8021140694618225
0,7,0.9803847074508667,,,,,
1,15,,,0.6966933608055115,0.23165231943130493,0.8230125904083252,0.6773496866226196
1,15,0.8684617280960083,,,,,
2,23,,,0.6593482494354248,0.29608261585235596,0.7877500057220459,0.6205500364303589
2,23,0.7984464168548584,,,,,
3,31,,,0.6313567161560059,0.3494495153427124,0.7573001980781555,0.5735036134719849
3,31,0.7031340003013611,,,,,
4,39,,,0.602988064289093,0.3937528133392334,0.7310590147972107,0.5344473123550415
4,39,0.6407080888748169,,,,,
5,47,,,0.5816128849983215,0.4186871647834778,0.7158673405647278,0.5124660134315491
5,47,0.5818624496459961,,,,,
6,49,,0.6960556507110596,,,,
6,55,,,0.5605263710021973,0.4646199345588684,0.6870030760765076,0.4719732105731964
6,55,0.547222375869751,,,,,
7,63,,,0.5571584701538086,0.4631565809249878,0.687941312789917,0.4732632637023926
7,63,0.5023152828216553,,,,,
8,71,,,0.5312914252281189,0.48420411348342896,0.6743207573890686,0.454708456993103
8,71,0.4848557710647583,,,,,
9,79,,,0.5317631363868713,0.5082918405532837,0.6583870649337769,0.43347349762916565
9,79,0.45867350697517395,,,,,
10,87,,,0.5193998217582703,0.5151650309562683,0.653769314289093,0.42741432785987854
10,87,0.4352632462978363,,,,,
11,95,,,0.5154973864555359,0.5253504514694214,0.6468656659126282,0.4184351861476898
11,95,0.4275469183921814,,,,,
12,99,,0.2914282977581024,,,,
12,103,,,0.5107454657554626,0.5279273986816406,0.6451073288917542,0.41616347432136536
12,103,0.41186103224754333,,,,,
13,111,,,0.5093751549720764,0.5335179567337036,0.6412760615348816,0.4112350046634674
13,111,0.40620487928390503,,,,,
14,119,,,0.5057129263877869,0.5368351936340332,0.6389919519424438,0.4083106815814972
14,119,0.3999040722846985,,,,,
