epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,6,,,0.6140350699424744,0.6539627313613892,0.8142857551574707,0.680284321308136
0,6,0.690384030342102,,,,,
1,13,,,0.6666666865348816,0.6647226214408875,0.8337662816047668,0.5875130295753479
1,13,0.6668855547904968,,,,,
2,20,,,0.7719298005104065,0.7161489129066467,0.8519479632377625,0.47686338424682617
2,20,0.5441115498542786,,,,,
3,27,,,0.8070175647735596,0.7487810850143433,0.8753246665000916,0.4561120271682739
3,27,0.48092129826545715,,,,,
4,34,,,0.8421052694320679,0.7606841921806335,0.8857142925262451,0.44368988275527954
4,34,0.4382116198539734,,,,,
5,41,,,0.8421052694320679,0.7743828296661377,0.9012986421585083,0.40883728861808777
5,41,0.4206587076187134,,,,,
6,48,,,0.859649121761322,0.7763128280639648,0.9038960933685303,0.3868483304977417
6,48,0.39120760560035706,,,,,
7,49,,0.4160766005516052,,,,
7,55,,,0.8421052694320679,0.7629920244216919,0.8948051929473877,0.40167123079299927
7,55,0.3697611689567566,,,,,
8,62,,,0.8421052694320679,0.7611231207847595,0.8948051929473877,0.3992065191268921
8,62,0.3731248080730438,,,,,
9,69,,,0.8771929740905762,0.7664133310317993,0.9038960933685303,0.3639536201953888
9,69,0.36461541056632996,,,,,
10,76,,,0.859649121761322,0.7648347616195679,0.9025974273681641,0.36254915595054626
10,76,0.34742605686187744,,,,,
11,83,,,0.8771929740905762,0.7556338310241699,0.8987013101577759,0.37613704800605774
11,83,0.3484838604927063,,,,,
12,90,,,0.8771929740905762,0.7625004053115845,0.9025974273681641,0.36270424723625183
12,90,0.32796865701675415,,,,,
13,97,,,0.859649121761322,0.7588387727737427,0.9012986421585083,0.3602760136127472
13,97,0.3359736502170563,,,,,
14,99,,0.2966826856136322,,,,
14,104,,,0.8771929740905762,0.7588387727737427,0.9012986421585083,0.35935911536216736
14,104,0.3213365375995636,,,,,
