epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,6,,,0.5438596606254578,0.672622799873352,0.7142857313156128,0.6869932413101196
0,6,0.6908499598503113,,,,,
1,13,,,0.5438596606254578,0.7197601199150085,0.7413792610168457,0.6420295834541321
1,13,0.6653451323509216,,,,,
2,20,,,0.719298243522644,0.7599310278892517,0.7586206793785095,0.5852171182632446
2,20,0.5454102754592896,,,,,
3,27,,,0.7368420958518982,0.7692927718162537,0.7746305465698242,0.6147205233573914
3,27,0.49240633845329285,,,,,
4,34,,,0.719298243522644,0.7887325882911682,0.7931033968925476,0.5530146956443787
4,34,0.4289602041244507,,,,,
5,41,,,0.719298243522644,0.7878299951553345,0.7980295419692993,0.5253171920776367
5,41,0.4224870502948761,,,,,
6,48,,,0.719298243522644,0.8037979602813721,0.8152709007263184,0.5154837965965271
6,48,0.38506320118904114,,,,,
7,49,,0.35591942071914673,,,,
7,55,,,0.7368420958518982,0.8060080409049988,0.8214285373687744,0.510513961315155
7,55,0.3844560980796814,,,,,
8,62,,,0.7719298005104065,0.8140134811401367,0.8300491571426392,0.4775097370147705
8,62,0.3612383306026459,,,,,
9,69,,,0.7719298005104065,0.8275424838066101,0.8460590839385986,0.46274247765541077
9,69,0.35565394163131714,,,,,
10,76,,,0.7894737124443054,0.8319426774978638,0.8509852290153503,0.4533739984035492
10,76,0.34977129101753235,,,,,
11,83,,,0.8070175647735596,0.8401442766189575,0.8620689511299133,0.44661685824394226
11,83,0.3448062837123871,,,,,
12,90,,,0.8070175647735596,0.8412697315216064,0.8633004426956177,0.4425015449523926
12,90,0.3357907235622406,,,,,
13,97,,,0.8245614171028137,0.8450716137886047,0.866995096206665,0.4380742013454437
13,97,0.33452117443084717,,,,,
14,99,,0.3146275281906128,,,,
14,104,,,0.8245614171028137,0.8505675196647644,0.8731526136398315,0.4333704113960266
14,104,0.32538527250289917,,,,,
