epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,6,,,0.6140350699424744,0.6019643545150757,0.6862499713897705,0.6870710849761963
0,6,0.6912521123886108,,,,,
1,13,,,0.6140350699424744,0.6904898881912231,0.716249942779541,0.6246716976165771
1,13,0.6655113697052002,,,,,
2,20,,,0.6666666865348816,0.706658124923706,0.7787500023841858,0.5752000212669373
2,20,0.5702604055404663,,,,,
3,27,,,0.719298243522644,0.7272531986236572,0.7975000143051147,0.5588619112968445
3,27,0.5092939734458923,,,,,
4,34,,,0.719298243522644,0.7280687093734741,0.8037499785423279,0.5361257791519165
4,34,0.4564141631126404,,,,,
5,41,,,0.7719298005104065,0.7513166666030884,0.8375000953674316,0.5075051784515381
5,41,0.41424140334129333,,,,,
6,48,,,0.7543859481811523,0.7502162456512451,0.8337500095367432,0.49668237566947937
6,48,0.38697361946105957,,,,,
7,49,,0.4485253691673279,,,,
7,55,,,0.8070175647735596,0.7386748790740967,0.8400000333786011,0.501934826374054
7,55,0.3641190826892853,,,,,
8,62,,,0.7368420958518982,0.7531320452690125,0.8337500095367432,0.5090553760528564
8,62,0.3531412184238434,,,,,
9,69,,,0.7719298005104065,0.7495492696762085,0.8374999761581421,0.5000154376029968
9,69,0.3336887061595917,,,,,
10,76,,,0.7543859481811523,0.7521063089370728,0.8374999761581421,0.49984851479530334
10,76,0.3320063352584839,,,,,
11,83,,,0.7894737124443054,0.7520045042037964,0.8400000333786011,0.49905964732170105
11,83,0.3116303086280823,,,,,
12,90,,,0.8070175647735596,0.7500376105308533,0.8400000333786011,0.5007801651954651
