epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,6,,,0.6140350699424744,0.6944592595100403,0.7124999165534973,0.681444525718689
0,6,0.6904340386390686,,,,,
1,13,,,0.6315789222717285,0.6974449753761292,0.7549999356269836,0.601738691329956
1,13,0.6570228934288025,,,,,
2,20,,,0.7017543911933899,0.712843120098114,0.7837499976158142,0.5587813854217529
2,20,0.549882173538208,,,,,
3,27,,,0.7368420958518982,0.7387021780014038,0.8149999976158142,0.5471436977386475
3,27,0.4909920394420624,,,,,
4,34,,,0.719298243522644,0.7330143451690674,0.8125,0.5282771587371826
4,34,0.4410126209259033,,,,,
5,41,,,0.7719298005104065,0.7526231408119202,0.8387500047683716,0.4984607696533203
5,41,0.4005741477012634,,,,,
6,48,,,0.7368420958518982,0.7509244680404663,0.82750004529953,0.5055803656578064
6,48,0.37575748562812805,,,,,
7,49,,0.44568145275115967,,,,
7,55,,,0.7719298005104065,0.7287406325340271,0.8325000405311584,0.5209107398986816
7,55,0.3621303141117096,,,,,
8,62,,,0.7543859481811523,0.7392101287841797,0.8287500143051147,0.5153965353965759
8,62,0.35269874334335327,,,,,
9,69,,,0.7543859481811523,0.7378132939338684,0.8325000405311584,0.5094881057739258
9,69,0.3335963785648346,,,,,
10,76,,,0.7543859481811523,0.7481526136398315,0.8350000381469727,0.5085538625717163
10,76,0.33423930406570435,,,,,
